DimInvestmentID,DimAccountID,InvestmentManagerID,Name,AssetClass,SubAssetClass,InvestmentRegime,Original_AssetClass,Original_SubAssetClass,IsPrimaryAccount,AsOfDate,NAV,Twr1Month,Twr3Month,Twr1Year,Twr3Year,Twr5Year,Twr10Year,TwrFytd,TwrYtd,TwrInceptionInvested,TwrSince98,TwrCompYtd,SINCE_INCEPTION,INCEPTION_DATE,AdjustedBegMV,TOT_MARKET_VALUE,SortOrder_Regime,SortOrder_AssetClass,SortOrder_SubAssetClass,SortOrder,IsRegimeTotal,IsAssetClassTotal,IsConsolidationAccount,IsSubassetClass_Total,TargetAllocation,DimPortfolioID,CustodianMarketValue
8174,83847,UTIMCO,Total Directional Hedge Multi,Directional Hedge Funds,Directional Multi-Strat,Global Equity,Directional Hedge Funds,Directional Multi-Strat,TRUE,30-09-2022 00:00:00,,0,0,0,0,0.054202,0.055387,0,0,0.076114,,0,7.6114,,1096202823,1099283022,1,4,9,25907,0,0,1,0,,12,
4217,83967,UTIMCO,Total Directional Hedge Credit,Directional Hedge Funds,Directional Credit,Global Equity,Directional Hedge Funds,Directional Credit,TRUE,30-09-2022 00:00:00,,0,0,0,0,0.045399,0.060655,0,0,0.068387,,0,6.8387,,967075367,958209986.3,1,4,11,29923,0,0,1,0,,12,
3779,84387,UTIMCO,Total Directional HF Pool,Directional Hedge Funds,Directional Hedge Funds,Global Equity,Directional Hedge Funds,,TRUE,30-09-2022 00:00:00,,0,0,0,0,0.055962,0.062238,0,0,0.079437,,0,7.9437,,6517675179,6444873848,1,4,,21730,0,0,1,0,,12,
3624,83727,UTIMCO,Total Directional Hedge Long/Short Equity,Directional Hedge Funds,Long/Short Equity,Global Equity,Directional Hedge Funds,Long/Short Equity,TRUE,30-09-2022 00:00:00,,0,0,0,0,0.063715,0.067343,0,0,0.080169,,0,8.0169,,4454323169,4387307020,1,4,7,25223,0,0,1,0,,12,
964,85826,Deerfield,Deerfield PDII,Directional Hedge Funds,Directional Credit,Global Equity,Directional Hedge Funds,Directional Credit,TRUE,30-09-2022 00:00:00,1904713,0,0.020965,0.371774,0.256105,0.118845,0.171361,0,0.367737,0.140995,,1,14.0995,,9570066,9570066,1,4,11,29154,0,0,0,0,,12,
8709,8700,UTIMCO,Total Private Equity,Private Equity,Private Equity,Global Equity,Private Equity,,TRUE,30-09-2022 00:00:00,,0.002246,-0.027897,0.033217,0.239248,0.202105,0.162281,0.002246,-0.025851,0.204272,,1,12.7225,,14531745087,14544660100,1,5,,30012,0,1,1,0,,12,
468,7435,Baupost,Baupost,Directional Hedge Funds,Directional Multi-Strat,Global Equity,Directional Hedge Funds,Directional Multi-Strat,TRUE,30-09-2022 00:00:00,26056815,-0.0178,0.009019,0.0544,0.088129,0.065037,0.067967,-0.0178,0.024671,0.07938,,1,7.9854,,133292798.5,130920184.9,1,4,9,25721,0,0,0,0,,12,
5957,86726,Farallon,FASS II,Directional Hedge Funds,Directional Credit,Global Equity,Directional Hedge Funds,Directional Credit,TRUE,30-09-2022 00:00:00,471403,-0.1431,-0.19959,-0.485829,-0.233554,-0.1643,-0.022443,-0.1431,-0.350756,-0.018675,,1,-1.8536,,2764060.34,2368523.3,1,4,11,29613,0,0,0,0,,12,
5684,86006,Farallon,FASS,Directional Hedge Funds,Directional Credit,Global Equity,Directional Hedge Funds,Directional Credit,TRUE,30-09-2022 00:00:00,813679,0.0134,-0.019341,0.05057,-0.140162,-0.102702,-0.033691,0.0134,-0.007641,0.010503,,1,1.0053,,4034201.27,4088259.57,1,4,11,29426,0,0,0,0,,12,
643,7315,Centerbridge,Centerbridge,Directional Hedge Funds,Directional Credit,Global Equity,Directional Hedge Funds,Directional Credit,TRUE,30-09-2022 00:00:00,2513641,-0.013343,-0.020415,0.001288,-0.120632,-0.054897,-0.010135,-0.013343,0.018943,0.026448,,1,2.6448,,12800363.43,12629566.7,1,4,11,29011,0,0,0,0,,12,
11486,86606,Sculptor,Sculptor Credit Opp,Directional Hedge Funds,Directional Credit,Global Equity,Directional Hedge Funds,Directional Credit,TRUE,30-09-2022 00:00:00,124911,0.072297,-0.494012,0.12561,-0.223542,-0.159459,-0.034427,0.072297,0.046159,-0.013384,,1,-1.3384,,585290.68,627605.18,1,4,11,29849,0,0,0,0,,12,
